Date,Price
2019-08-15,2047.00
2019-08-16,2088.00
2019-08-19,2067.00
2019-08-20,2059.00
2019-08-21,2061.00
2019-08-22,2118.00
2019-08-23,2168.00
2019-08-27,2213.00
2019-08-28,2267.00
2019-08-29,2277.00
2019-08-30,2378.00
2019-09-02,2442.00
2019-09-03,2501.00
2019-09-04,2518.00
2019-09-05,2499.00
2019-09-06,2462.00
2019-09-09,2422.00
2019-09-10,2393.00
2019-09-11,2366.00
2019-09-12,2331.00
2019-09-13,2312.00
2019-09-16,2311.00
2019-09-17,2283.00
2019-09-18,2266.00
2019-09-19,2192.00
2019-09-20,2131.00
2019-09-23,2108.00
2019-09-24,2116.00
2019-09-25,2053.00
2019-09-26,1963.00
2019-09-27,1857.00
2019-09-30,1823.00
2019-10-01,1809.00
2019-10-02,1803.00
2019-10-03,1757.00
2019-10-04,1767.00
2019-10-07,1770.00
2019-10-08,1801.00
2019-10-09,1873.00
2019-10-10,1929.00
2019-10-11,1924.00
2019-10-14,1916.00
2019-10-15,1898.00
2019-10-16,1897.00
2019-10-17,1861.00
2019-10-18,1855.00
2019-10-21,1846.00
2019-10-22,1806.00
2019-10-23,1779.00
2019-10-24,1785.00
2019-10-25,1801.00
2019-10-28,1803.00
2019-10-29,1802.00
2019-10-30,1782.00
2019-10-31,1731.00
2019-11-01,1697.00
2019-11-04,1675.00
2019-11-05,1656.00
2019-11-06,1533.00
2019-11-07,1428.00
2019-11-08,1378.00
2019-11-11,1345.00
2019-11-12,1354.00
2019-11-13,1365.00
2019-11-14,1364.00
2019-11-15,1357.00
2019-11-18,1338.00
2019-11-19,1304.00
2019-11-20,1260.00
2019-11-21,1255.00
2019-11-22,1284.00
2019-11-25,1351.00
2019-11-26,1426.00
2019-11-27,1440.00
2019-11-28,1467.00
2019-11-29,1528.00
2019-12-02,1568.00
2019-12-03,1606.00
2019-12-04,1599.00
2019-12-05,1575.00
2019-12-06,1558.00
2019-12-09,1551.00
2019-12-10,1528.00
2019-12-11,1460.00
2019-12-12,1388.00
2019-12-13,1355.00
2019-12-16,1315.00
2019-12-17,1281.00
2019-12-18,1221.00
2019-12-19,1151.00
2019-12-20,1123.00
2019-12-23,1103.00
2019-12-24,1090.00
2020-01-02,976.00
2020-01-03,907.00
2020-01-06,844.00
2020-01-07,791.00
2020-01-08,773.00
2020-01-09,772.00
